"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","zeme3"
"CS","CZEMALFA",1186,"AD","Andorra","Andorrské knížectví","1900-01-01","9999-09-09","AND"
"CS","CZEMALFA",1186,"AE","Spojené arabské emiráty","Stát Spojené arabské emiráty","1900-01-01","9999-09-09","ARE"
"CS","CZEMALFA",1186,"AF","Afghánistán","Afghánská islámská republika","1900-01-01","9999-09-09","AFG"
"CS","CZEMALFA",1186,"AG","Antigua a Barbuda","Antigua a Barbuda","1900-01-01","9999-09-09","ATG"
"CS","CZEMALFA",1186,"AI","Anguilla","Anguilla","1900-01-01","9999-09-09","AIA"
"CS","CZEMALFA",1186,"AL","Albánie","Albánská republika","1900-01-01","9999-09-09","ALB"
"CS","CZEMALFA",1186,"AM","Arménie","Arménská republika","1900-01-01","9999-09-09","ARM"
"CS","CZEMALFA",1186,"AO","Angola","Angolská republika","1900-01-01","9999-09-09","AGO"
"CS","CZEMALFA",1186,"AQ","Antarktida","Antarktida","1900-01-01","9999-09-09","ATA"
"CS","CZEMALFA",1186,"AR","Argentina","Argentinská republika","1900-01-01","9999-09-09","ARG"
"CS","CZEMALFA",1186,"AS","Americká Samoa","Území Americká Samoa","1900-01-01","9999-09-09","ASM"
"CS","CZEMALFA",1186,"AT","Rakousko","Rakouská republika","1900-01-01","9999-09-09","AUT"
"CS","CZEMALFA",1186,"AU","Austrálie","Australské společenství","1900-01-01","9999-09-09","AUS"
"CS","CZEMALFA",1186,"AW","Aruba","Aruba","1900-01-01","9999-09-09","ABW"
"CS","CZEMALFA",1186,"AX","Alandy","Provincie Alandy","2004-02-13","9999-09-09","ALA"
"CS","CZEMALFA",1186,"AZ","Ázerbájdžán","Ázerbájdžánská republika","1900-01-01","9999-09-09","AZE"
"CS","CZEMALFA",1186,"BA","Bosna a Hercegovina","Bosna a Hercegovina","1900-01-01","9999-09-09","BIH"
"CS","CZEMALFA",1186,"BB","Barbados","Barbados","1900-01-01","9999-09-09","BRB"
"CS","CZEMALFA",1186,"BD","Bangladéš","Bangladéšská lidová republika","1900-01-01","9999-09-09","BGD"
"CS","CZEMALFA",1186,"BE","Belgie","Belgické království","1900-01-01","9999-09-09","BEL"
"CS","CZEMALFA",1186,"BF","Burkina Faso","Burkina Faso","1900-01-01","9999-09-09","BFA"
"CS","CZEMALFA",1186,"BG","Bulharsko","Bulharská republika","1900-01-01","9999-09-09","BGR"
"CS","CZEMALFA",1186,"BH","Bahrajn","Království Bahrajn","1900-01-01","9999-09-09","BHR"
"CS","CZEMALFA",1186,"BI","Burundi","Burundská republika","1900-01-01","9999-09-09","BDI"
"CS","CZEMALFA",1186,"BJ","Benin","Beninská republika","1900-01-01","9999-09-09","BEN"
